description,amount,transaction_type,category
IRCTC railway train ticket INR 6845.76,6845.76,expense,Transport
Air India domestic flight,8338.84,expense,Transport
UPI/skinclinicconsultationfee/855303,2155.80,expense,Healthcare
Lifestyle sunglasses purchase Ref #16734,4935.35,expense,Shopping
Croma electronics accessory Ref #51359,18143.59,expense,Shopping
UPI/inoxmultiplexpopcorncombo/702980,1571.53,expense,Entertainment
POS SOFTWARE DEVELOPMENT MILESTONE PAYOUT,45504.20,income,Freelance
Wipro Limited payroll disbursement,167143.71,income,Salary
Steam games online store,539.55,expense,Entertainment
UPI/birthdaycashgiftreceived/154617,3668.22,expense,Other
Indane LPG cooking gas cylinder refill,3406.70,expense,Utilities
POS SOFTWARE DEVELOPMENT MILESTONE PAYOUT,19740.00,income,Freelance
UPI/shoppersstopcasuals/712451,22659.03,expense,Shopping
UPI/housedepositmonthlyinstallment/354367,27968.55,expense,Rent
Myntra fashion apparel Ref #81121,10426.94,expense,Shopping
Software development milestone payout,20161.54,income,Freelance
Starbucks coffee Ref #42098,2616.10,expense,Food
POS CLIENT UI DESIGN CONSULTING INVOICE,38109.09,income,Freelance
Fortis Healthcare physician visit INR 8775.12,8775.12,expense,Healthcare
POS SKIN CLINIC CONSULTATION FEE,9500.56,expense,Healthcare
Corporate employer net salary deposit,159513.48,income,Salary
Public Provident Fund PPF annual deposit Ref #89777,8048.78,expense,Investment
UPI/titanwatchshowroom/879779,22471.32,expense,Shopping
Guest lecture honorarium credit INR 16712.27,16712.27,income,Freelance
UPI/titanwatchshowroom/528361,4250.70,expense,Shopping
UPI/sagarratnasouthindianmeal/313487,2534.23,expense,Food
UPI/mcdonald'sdrive-thru/997546,2843.44,expense,Food
Client UI design consulting invoice INR 21599.74,21599.74,income,Freelance
Apollo Pharmacy prescription medicines Ref #80747,5351.71,expense,Healthcare
POS DONATION TO PM CARES RELIEF FUND,1985.85,income,Other
UPI/fiverrinternationalgigpayment/600318,14371.82,income,Freelance
Technical writing freelance retainer Ref #56281,33869.82,income,Freelance
Infosys Technologies monthly salary INR 162293.45,162293.45,income,Salary
Byju's learning tablet subscription,23689.13,expense,Education
Fiverr international gig payment,66327.91,income,Freelance
UPI/stanzalivingstudentpgrent/309146,11705.37,expense,Rent
Apollo Pharmacy prescription medicines INR 5036.85,5036.85,expense,Healthcare
Software development milestone payout,29323.26,income,Freelance
POS QUARTERLY PERFORMANCE APPRAISAL BONUS,166414.02,income,Salary
Pind Balluchi family dinner INR 2638.08,2638.08,expense,Food
POS OFFICE STUDIO MONTHLY RENT,29379.75,expense,Rent
UPI/tatasilveretfpurchaseorder/459315,49625.04,expense,Investment
UPI/donationtopmcaresrelieffund/322167,7426.13,expense,Other
UPI/fiverrinternationalgigpayment/339303,16339.96,income,Freelance
Stationery depot notebooks and pens INR 28437.30,28437.30,expense,Education
Blinkit grocery essentials,1549.87,expense,Food
POS TATA PLAY DTH RECHARGE,1067.58,expense,Utilities
Kisan Vikas Patra post office,39168.12,expense,Investment
UPI/stanzalivingstudentpgrent/793150,20715.50,expense,Rent
Tata Play DTH recharge Ref #34405,3670.73,expense,Utilities
Solar rooftop service fee INR 1779.01,1779.01,expense,Utilities
UPI/burgerkingcombomeal/704596,1397.37,expense,Food
POS BOOKMYSHOW CINEMA TICKETS,537.65,expense,Entertainment
Stationery depot notebooks and pens INR 7573.66,7573.66,expense,Education
UPI/societyapartmentmaintenancelevy/401602,1809.64,expense,Utilities
Charity contribution CRY foundation,9799.95,expense,Other
UPI/drlalpathlabsfullbloodtest/419457,1417.62,expense,Healthcare
Mainland China lunch,3276.70,expense,Food
Fortis Healthcare physician visit Ref #57088,6473.75,expense,Healthcare
POS CREDIT CARD ANNUAL RENEWAL SURCHARGE,8212.24,income,Other
UPI/kisanvikaspatrapostoffice/122977,11348.32,expense,Investment
Tata Consultancy Services salary,50626.03,income,Salary
Coliving monthly rental stay INR 9646.43,9646.43,expense,Rent
UPI/societyapartmentmaintenancelevy/256175,3000.05,expense,Utilities
Public Provident Fund PPF annual deposit,14736.99,expense,Investment
Allen Career Institute coaching fees INR 15981.99,15981.99,expense,Education
Tata Silver ETF purchase order INR 48736.75,48736.75,expense,Investment
Netflix 4K UHD monthly subscription Ref #75799,268.88,expense,Entertainment
POS COLLEGE SEMESTER TUITION FEE,15005.65,expense,Education
Amazon Prime annual membership INR 337.80,337.80,expense,Entertainment
Bescom monthly electricity bill Ref #24064,3252.97,expense,Utilities
Bank account annual debit card maintenance,4376.16,expense,Other
POS COURSERA ANNUAL SPECIALIZATION PASS,24186.03,expense,Education
POS FLIPKART ORDER ELECTRONICS,4070.26,expense,Shopping
POS CAR WASH EXPRESS,3268.64,expense,Transport
UPI/chaipointtea&snacks/509386,87.37,expense,Food
POS AMAZON PRIME ANNUAL MEMBERSHIP,1129.71,expense,Entertainment
POS STEAM GAMES ONLINE STORE,2311.13,expense,Entertainment
Infosys Technologies monthly salary,80416.14,income,Salary
Municipal waste management fee INR 3985.16,3985.16,expense,Utilities
Wipro Limited payroll disbursement,82931.60,income,Salary
Coliving monthly rental stay Ref #15848,13037.74,expense,Rent
Uniqlo winter wear,16578.45,expense,Shopping
UPI/axissmallcapfundmonthlydebit/107704,29639.87,expense,Investment
Airtel Xstream fiber broadband,4858.94,expense,Utilities
Zerodha Broking equity fund transfer INR 45664.26,45664.26,expense,Investment
Office studio monthly rent,20059.01,expense,Rent
Municipal waste management fee Ref #11071,1785.18,expense,Utilities
RedBus intercity bus seat,2284.67,expense,Transport
Quarterly performance appraisal bonus INR 156659.79,156659.79,income,Salary
UPI/miraeassetlargecapfundsip/498197,9881.77,expense,Investment
UPI/donationtopmcaresrelieffund/687783,4176.19,expense,Other
POS CORPORATE EMPLOYER NET SALARY DEPOSIT,140210.44,income,Salary
POS CAR WASH EXPRESS,2392.97,expense,Transport
Local vegetable market,1123.75,expense,Food
UPI/guestlecturehonorariumcredit/128679,67756.67,income,Freelance
Physiotherapy rehabilitation session INR 6084.40,6084.40,expense,Healthcare
UPI/allencareerinstitutecoachingfees/787757,44665.63,expense,Education
POS FIVERR INTERNATIONAL GIG PAYMENT,30860.46,income,Freelance
UPI/contentmarketingretainerwiretransfer/226215,37003.72,income,Freelance
Airtel Xstream fiber broadband Ref #91851,1189.41,expense,Utilities
Ajio footwear Ref #97012,7381.15,expense,Shopping
Tata Consultancy Services salary Ref #31094,143776.83,income,Salary
POS SOCIETY APARTMENT MAINTENANCE LEVY,5260.94,expense,Utilities
Rapido bike taxi INR 7078.47,7078.47,expense,Transport
POS TECHNICAL WRITING FREELANCE RETAINER,24828.67,income,Freelance
Independent code audit consulting fee,59525.69,income,Freelance
UPI/creditcardannualrenewalsurcharge/241678,5530.60,income,Other
Coding boot camp enrollment INR 21757.14,21757.14,expense,Education
POS CHARITY CONTRIBUTION CRY FOUNDATION,2573.97,income,Other
Spotify premium family plan Ref #58623,1677.57,expense,Entertainment
Birthday cash gift received INR 7369.57,7369.57,expense,Other
Haldiram's dinner Ref #66959,450.74,expense,Food
Mirae Asset Large Cap Fund SIP Ref #31611,37755.66,expense,Investment
UPI/tataconsultancyservicessalary/935474,143279.32,income,Salary
Guest lecture honorarium credit Ref #78280,57352.68,income,Freelance
Standup comedy open mic ticket,1973.47,expense,Entertainment
Steam games online store,952.82,expense,Entertainment
Independent code audit consulting fee INR 51277.68,51277.68,income,Freelance
Fiverr international gig payment Ref #44039,30312.16,income,Freelance
EdX certificate fee INR 33778.79,33778.79,expense,Education
POS CONTENT MARKETING RETAINER WIRE TRANSFER,34336.51,income,Freelance
POS OLA AUTOS COMMUTE,6317.52,expense,Transport
Dr Lal PathLabs full blood test INR 11550.62,11550.62,expense,Healthcare
UPI/upworkescrowfreelanceearningscredit/791423,11523.30,income,Freelance
POS TATA CONSULTANCY SERVICES SALARY,84496.78,income,Salary
UPI/cromaelectronicsaccessory/800646,14418.30,expense,Shopping
Inox multiplex popcorn combo INR 1847.26,1847.26,expense,Entertainment
SRL Diagnostics lipid profile panel,1720.21,expense,Healthcare
POS VI CELLULAR MONTHLY BILL,1845.95,expense,Utilities
IRCTC railway train ticket,8313.63,expense,Transport
POS PVR CINEMAS IMAX WEEKEND TICKETS,804.65,expense,Entertainment
SonyLIV entertainment pass,952.55,expense,Entertainment
POS STANZA LIVING STUDENT PG RENT,20042.31,expense,Rent
National Pension System NPS tier 1 INR 1230.96,1230.96,expense,Investment
UPI/nationalpensionsystemnpstier1/408334,13767.40,expense,Investment
POS COLIVING MONTHLY RENTAL STAY,23680.81,expense,Rent
Lifestyle sunglasses purchase,7942.93,expense,Shopping
Coliving monthly rental stay,12535.71,expense,Rent
Tata Consultancy Services salary INR 133969.95,133969.95,income,Salary
Cheque clearing charge fee Ref #42778,8967.42,expense,Other
POS FLAT LANDLORD RENT DIRECT NEFT,13349.59,expense,Rent
Puma running shoes Ref #66179,2465.11,expense,Shopping
Steam games online store Ref #19724,941.22,expense,Entertainment
Vaccination clinic booster dose Ref #12009,3742.78,expense,Healthcare
UPI/bankaccountannualdebitcardmaintenance/544114,6750.30,expense,Other
POS PRACTO DOCTOR VIDEO CONSULT,6865.35,expense,Healthcare
Client UI design consulting invoice,50757.27,income,Freelance
Technical writing freelance retainer,41017.89,income,Freelance
UPI/udemypythonmachinelearningcourse/662968,36077.65,expense,Education
ATM cash withdrawal transaction,5624.40,income,Other
Myntra fashion apparel INR 2906.77,2906.77,expense,Shopping
Paradise Biryani takeaway Ref #35313,160.93,expense,Food
Local library membership renewal Ref #13219,15850.39,expense,Education
Woodland leather wallet INR 19482.06,19482.06,expense,Shopping
Mirae Asset Large Cap Fund SIP,2835.82,expense,Investment
Monthly tech payroll salary credit INR 106129.89,106129.89,income,Salary
Accenture payroll direct credit,97762.95,income,Salary
Ola autos commute INR 6342.76,6342.76,expense,Transport
POS SAGAR RATNA SOUTH INDIAN MEAL,3246.11,expense,Food
UPI/publicprovidentfundppfannualdeposit/276795,38298.47,expense,Investment
POS VACCINATION CLINIC BOOSTER DOSE,6066.72,expense,Healthcare
UPI/airtelprepaid84daysrecharge/160541,2674.81,expense,Utilities
Apple Store USB cable Ref #45992,15818.01,expense,Shopping
Car wash express Ref #24996,888.06,expense,Transport
Charity contribution CRY foundation Ref #15397,3117.36,expense,Other
Jio Fiber monthly plan recharge Ref #49124,1750.11,expense,Utilities
Cycle service station,5449.03,expense,Transport
Jio Fiber monthly plan recharge Ref #15938,2899.91,expense,Utilities
Birthday cash gift received Ref #15529,1670.25,income,Other
UPI/fortishealthcarephysicianvisit/158840,6699.51,expense,Healthcare
UPI/atmcashwithdrawaltransaction/300924,1159.85,expense,Other
Puma running shoes,11947.16,expense,Shopping
UPI/growwmutualfundmonthlysip/460572,43506.29,expense,Investment
BigBasket daily veggies INR 1395.90,1395.90,expense,Food
Croma electronics accessory,24989.48,expense,Shopping
Cheque clearing charge fee INR 544.29,544.29,income,Other
UPI/fastagtollrechargenh48/327823,5882.87,expense,Transport
UPI/accenturepayrolldirectcredit/896204,51533.39,income,Salary
POS JIO TRUE 5G UNLIMITED RECHARGE,2004.75,expense,Utilities
Independent code audit consulting fee Ref #69591,37877.20,income,Freelance
POS CODING BOOT CAMP ENROLLMENT,33115.38,expense,Education
POS DENTIST CLINIC DENTAL CLEANING,6453.41,expense,Healthcare
Vi cellular monthly bill INR 4051.00,4051.00,expense,Utilities
Municipal waste management fee INR 5263.92,5263.92,expense,Utilities
JioCinema premium subscription,1039.87,expense,Entertainment
SonyLIV entertainment pass Ref #75715,1510.87,expense,Entertainment
UPI/apollopharmacyprescriptionmedicines/205797,2592.07,expense,Healthcare
POS TATA CONSULTANCY SERVICES SALARY,155347.60,income,Salary
Mirae Asset Large Cap Fund SIP INR 34182.61,34182.61,expense,Investment
Domino's Pizza delivery INR 1444.55,1444.55,expense,Food
POS BANK ACCOUNT ANNUAL DEBIT CARD MAINTENANCE,8030.10,income,Other
Client UI design consulting invoice Ref #65466,41801.48,income,Freelance
Vijay Sales home appliance INR 3206.54,3206.54,expense,Shopping
Zomato online delivery,2249.25,expense,Food
Monthly apartment house rent transfer INR 34923.36,34923.36,expense,Rent
POS REIMBURSEMENT MEDICAL CLAIM CREDIT,158521.32,income,Salary
POS FLIPKART ORDER ELECTRONICS,13505.53,expense,Shopping
Starbucks coffee Ref #24029,984.47,expense,Food
Mahanagar Gas piped natural gas INR 2657.30,2657.30,expense,Utilities
POS DOMINO'S PIZZA DELIVERY,429.56,expense,Food
UPI/ajiofootwear/615611,16015.70,expense,Shopping
SBI Nifty 50 Index Fund direct,13225.02,expense,Investment
Client UI design consulting invoice,26971.09,income,Freelance
Flat landlord rent direct NEFT Ref #86638,29058.30,expense,Rent
Burger King combo meal,2991.59,expense,Food
JioCinema premium subscription Ref #21104,1488.44,expense,Entertainment
Uber premier cab ride INR 3514.32,3514.32,expense,Transport
POS INDEPENDENT CODE AUDIT CONSULTING FEE,43818.61,income,Freelance
Zara clothing store INR 5111.91,5111.91,expense,Shopping
POS CYCLE SERVICE STATION,8438.25,expense,Transport
SRL Diagnostics lipid profile panel Ref #80507,2328.97,expense,Healthcare
Tata Play DTH recharge Ref #76895,771.99,expense,Utilities
Content marketing retainer wire transfer,12599.91,income,Freelance
Bank account annual debit card maintenance Ref #77713,6290.70,income,Other
Skin clinic consultation fee INR 5610.82,5610.82,expense,Healthcare
Rapido bike taxi,4915.16,expense,Transport
Airport parking payment Ref #25292,5536.07,expense,Transport
Office studio monthly rent,13391.22,expense,Rent
POS STANZA LIVING STUDENT PG RENT,8591.65,expense,Rent
UPI/guestlecturehonorariumcredit/705711,74195.58,income,Freelance
House deposit monthly installment INR 34071.95,34071.95,expense,Rent
POS COLLEGE SEMESTER TUITION FEE,7499.45,expense,Education
Decathlon sports gear,12393.73,expense,Shopping
UPI/creditcardannualrenewalsurcharge/496119,311.39,expense,Other
Zepto quick grocery INR 3300.26,3300.26,expense,Food
Vaccination clinic booster dose INR 4475.43,4475.43,expense,Healthcare
Reliance Digital headphones,11203.17,expense,Shopping
POS AIR INDIA DOMESTIC FLIGHT,4751.33,expense,Transport
UPI/friendloanrepaymentcashtransfer/972496,9291.20,income,Other
POS GUEST LECTURE HONORARIUM CREDIT,53244.74,income,Freelance
UPI/disney+hotstarsuperplan/638289,1160.42,expense,Entertainment
Friend loan repayment cash transfer,6375.48,expense,Other
Technical writing freelance retainer,52181.71,income,Freelance
Tata 1mg healthcare vitamin supplements INR 3710.16,3710.16,expense,Healthcare
BookMyShow cinema tickets INR 966.81,966.81,expense,Entertainment
UPI/officestudiomonthlyrent/555292,24397.58,expense,Rent
UPI/reliancedigitalheadphones/693423,19987.19,expense,Shopping
Tata Silver ETF purchase order,18518.84,expense,Investment
Bescom monthly electricity bill INR 4010.39,4010.39,expense,Utilities
Pind Balluchi family dinner,3393.97,expense,Food
Mahanagar Gas piped natural gas,1792.16,expense,Utilities
Tata Power consumer bill payment INR 4609.45,4609.45,expense,Utilities
Decathlon sports gear,16885.28,expense,Shopping
POS BHARAT PETROLEUM DIESEL FILL,6507.16,expense,Transport
UPI/stationerydepotnotebooksandpens/789237,8793.40,expense,Education
Chalo bus card recharge,6350.87,expense,Transport
Axis Small Cap Fund monthly debit,33365.99,expense,Investment
POS PRACTO DOCTOR VIDEO CONSULT,11443.10,expense,Healthcare
Eye care optical glasses lens,3199.32,expense,Healthcare
POS PIND BALLUCHI FAMILY DINNER,253.01,expense,Food
Tata Play DTH recharge,3969.74,expense,Utilities
FASTag toll recharge NH48 Ref #73156,2221.40,expense,Transport
POS GUEST LECTURE HONORARIUM CREDIT,67274.27,income,Freelance
Infosys Technologies monthly salary,108064.55,income,Salary
Dr Lal PathLabs full blood test,5830.82,expense,Healthcare
Inox multiplex popcorn combo INR 658.95,658.95,expense,Entertainment
POS SUBWAY CLUB SUB,602.71,expense,Food
UPI/sovereigngoldbondtrancheinvestment/137034,20025.47,expense,Investment
UPI/fixeddepositcreationicicibank/221414,3363.52,expense,Investment
Friend loan repayment cash transfer INR 625.54,625.54,income,Other
POS VI CELLULAR MONTHLY BILL,4600.17,expense,Utilities
UPI/paragparikhflexicapfund/992647,7646.84,expense,Investment
Starbucks coffee,690.70,expense,Food
Corporate employer net salary deposit INR 123573.51,123573.51,income,Salary
UPI/stanzalivingstudentpgrent/360276,10462.75,expense,Rent
Client UI design consulting invoice,6571.22,income,Freelance
Kisan Vikas Patra post office,34629.59,expense,Investment
POS HOUSE DEPOSIT MONTHLY INSTALLMENT,34045.14,expense,Rent
POS ZOOMCAR RENTAL DEPOSIT,3334.06,expense,Transport
Monthly apartment house rent transfer INR 32783.20,32783.20,expense,Rent
POS NAMMA METRO CARD RECHARGE,1455.78,expense,Transport
UPI/zomatoonlinedelivery/627276,2077.89,expense,Food
Stanza Living student PG rent INR 18486.29,18486.29,expense,Rent
Office studio monthly rent INR 33584.09,33584.09,expense,Rent
UPI/drlalpathlabsfullbloodtest/697467,2875.72,expense,Healthcare
Dentist clinic dental cleaning INR 1245.70,1245.70,expense,Healthcare
UPI/sonyliventertainmentpass/958729,939.33,expense,Entertainment
Cycle service station,5711.61,expense,Transport
KFC crispy chicken,930.40,expense,Food
Kisan Vikas Patra post office Ref #30892,49096.89,expense,Investment
EdX certificate fee INR 19111.06,19111.06,expense,Education
Birthday cash gift received INR 5224.33,5224.33,expense,Other
UPI/medplushealthcaredrugs/829417,10986.13,expense,Healthcare
Content marketing retainer wire transfer,30926.42,income,Freelance
UPI/zeptoquickgrocery/969693,1967.98,expense,Food
Content marketing retainer wire transfer,18231.47,income,Freelance
Parag Parikh Flexi Cap Fund INR 9183.99,9183.99,expense,Investment
UPI/officestudiomonthlyrent/347088,23463.29,expense,Rent
Airtel prepaid 84 days recharge,750.12,expense,Utilities
Technical writing freelance retainer INR 29702.86,29702.86,income,Freelance
Corporate employer net salary deposit INR 67073.72,67073.72,income,Salary
Tata Play DTH recharge INR 4681.00,4681.00,expense,Utilities
Mahanagar Gas piped natural gas INR 1930.83,1930.83,expense,Utilities
UPI/audibleaudiobooksmonthlycredit/280941,1284.74,expense,Entertainment
POS KFC CRISPY CHICKEN,995.67,expense,Food
PlayStation Plus quarterly network,2183.85,expense,Entertainment
UPI/sovereigngoldbondtrancheinvestment/674765,8858.31,expense,Investment
Physiotherapy rehabilitation session INR 1257.98,1257.98,expense,Healthcare
Friend loan repayment cash transfer Ref #44898,2498.92,expense,Other
POS HALDIRAM'S DINNER,938.83,expense,Food
Tata Consultancy Services salary Ref #99477,100078.16,income,Salary
Allen Career Institute coaching fees,22514.31,expense,Education
Comic con pass booking,190.04,expense,Entertainment
Reliance Digital headphones INR 20413.72,20413.72,expense,Shopping
UPI/monthlyapartmenthouserenttransfer/164664,11279.24,expense,Rent
KFC crispy chicken,2092.02,expense,Food
Birthday cash gift received Ref #41862,4018.50,expense,Other
POS SWIGGY ORDER,827.74,expense,Food
BookMyShow cinema tickets INR 1343.39,1343.39,expense,Entertainment
Bescom monthly electricity bill,2448.58,expense,Utilities
Comic con pass booking INR 1822.19,1822.19,expense,Entertainment
Upwork Escrow freelance earnings credit Ref #62513,70147.95,income,Freelance
POS OFFICE STUDIO MONTHLY RENT,34165.75,expense,Rent
UPI/wiprolimitedpayrolldisbursement/635205,102381.67,income,Salary
SBI Nifty 50 Index Fund direct,37306.30,expense,Investment
Coliving monthly rental stay INR 19645.73,19645.73,expense,Rent
UPI/growwmutualfundmonthlysip/206210,36454.62,expense,Investment
Shell India premium fuel Ref #63841,2023.60,expense,Transport
Tata 1mg healthcare vitamin supplements,2275.35,expense,Healthcare
UPI/reimbursementmedicalclaimcredit/264550,36688.51,income,Salary
Kisan Vikas Patra post office INR 14968.40,14968.40,expense,Investment
Jio true 5G unlimited recharge INR 1924.74,1924.74,expense,Utilities
POS BWSSB WATER SUPPLY BILL,3849.88,expense,Utilities
Udemy python machine learning course,6729.72,expense,Education
POS TATA PLAY DTH RECHARGE,2100.44,expense,Utilities
House deposit monthly installment Ref #58967,33935.09,expense,Rent
UPI/corporateemployernetsalarydeposit/176115,136627.89,income,Salary
POS SBI NIFTY 50 INDEX FUND DIRECT,30808.85,expense,Investment
Annual festival performance incentive Ref #67761,163701.12,income,Salary
Annual festival performance incentive Ref #12213,97788.63,income,Salary
BigBasket daily veggies,1858.13,expense,Food
POS AMAZON PRIME ANNUAL MEMBERSHIP,1639.00,expense,Entertainment
YouTube Premium family bundle,496.22,expense,Entertainment
Mirae Asset Large Cap Fund SIP,9701.60,expense,Investment
Bank account annual debit card maintenance,4780.97,expense,Other
Fixed deposit creation ICICI bank,14185.10,expense,Investment
Bank account annual debit card maintenance INR 9309.09,9309.09,expense,Other
UPI/indanelpgcookinggascylinderrefill/486251,4541.71,expense,Utilities
Lifestyle sunglasses purchase,3387.08,expense,Shopping
HPCL petrol station refill Ref #40771,5267.53,expense,Transport
Flat landlord rent direct NEFT,24580.88,expense,Rent
Vi cellular monthly bill,5021.18,expense,Utilities
UPI/cromaelectronicsaccessory/308802,5926.16,expense,Shopping
Independent code audit consulting fee Ref #30636,50851.34,income,Freelance
Upwork Escrow freelance earnings credit,34506.45,income,Freelance
POS FRIEND LOAN REPAYMENT CASH TRANSFER,5049.20,expense,Other
Netmeds online medicine order INR 9520.04,9520.04,expense,Healthcare
Fortis Healthcare physician visit,5140.06,expense,Healthcare
Dr Lal PathLabs full blood test INR 1810.61,1810.61,expense,Healthcare
UPI/jiotrue5gunlimitedrecharge/997734,1211.75,expense,Utilities
IKEA home decor Ref #88139,8772.34,expense,Shopping
POS BURGER KING COMBO MEAL,274.53,expense,Food
